url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/industrial-building/for-sale/8800/roeselare/rbu64667,rbu64667,120500.0,New,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc11798,vbc11798,243648.0,New,NaN,1.0,73.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,1.0,Gas,NaN,1.0,NaN,NaN,NaN,0.0,17.0,NaN,NaN
https://immovlan.be/en/detail/land/for-sale/7011/ghlin/vbd32072,vbd32072,80000.0,NaN,On contract,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,841.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/3970/leopoldsburg/rbu43067,rbu43067,225000.0,New,Immediately,1.0,65.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.0,2.0,1.0,NaN,0.0,17.0,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/7090/braine-le-comte/vbd36835,vbd36835,185000.0,New,NaN,1.0,65.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,2.0,1.0,NaN,0.0,7.0,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbu65155,rbu65155,280000.0,NaN,NaN,2.0,96.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,0.0,NaN,1.0,NaN,0.0,28.0,NaN,NaN
https://immovlan.be/en/detail/studio/for-sale/1050/elsene/vbd40709,vbd40709,156000.0,New,NaN,NaN,13.0,NaN,NaN,NaN,NaN,Super equipped,NaN,1.0,NaN,1.0,Hot air,NaN,0.0,4.0,NaN,NaN,1.0,NaN,NaN,1.0
https://immovlan.be/en/detail/apartment/for-sale/6230/pont-a-celles/vbd01925,vbd01925,249700.0,New,NaN,2.0,86.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,1.0,Gas,NaN,0.0,NaN,1.0,NaN,0.0,8.0,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/5060/sambreville/vbd43248,vbd43248,320000.0,New,NaN,2.0,91.0,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,Not specified,NaN,NaN,NaN,0.0,NaN,1.0,NaN,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72568,vbc72568,315000.0,New,NaN,2.0,91.0,1.0,NaN,NaN,NaN,Super equipped,NaN,1.0,NaN,1.0,Gas,NaN,0.0,2.0,0.0,NaN,0.0,13.0,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/7800/ath/vbd45553,vbd45553,175000.0,Normal,Immediately,2.0,77.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,Double glass,1.0,NaN,1.0,NaN,1.0,NaN,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbd43495,vbd43495,165000.0,Excellent,NaN,1.0,76.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,1.0,1.0,Gas,NaN,1.0,2.0,1.0,NaN,1.0,NaN,NaN,NaN
